tweets,label,preprocess_tweets
Sporting hero David Beckham urges fans to vote REMAIN on Thursday - please RT: https://t.co/92xOtHEXlK https://t.co/B3wCD8J2S5,stay,sporting hero david beckham urges fans to vote remain on thursday - please rt : <url> <url>
Football superstar David Beckham on why he's voting REMAIN: https://t.co/92xOtHEXlK https://t.co/5hIi54W2Sh,stay,football superstar david beckham on why he's voting remain : <url> <url>
"RT @wdjstraw: Last minute winner from David Beckham: ""For our children &amp; their children ... I am voting to Remain"" https://t.co/gcu115wAXM",stay,"rt : last minute winner from david beckham : "" for our children amp ; their children i am voting to remain "" <url>"
The man who predicted the credit crunch is in no doubt about the damage leaving Europe would cause to UK families: https://t.co/QnYA3ap8dY,leave,the man who predicted the credit crunch is in no doubt about the damage leaving europe would cause to uk families : <url>
The Guardian: why a REMAIN vote is essential for UK families. https://t.co/oHvGmHHaRe https://t.co/HcadtPHAtg,stay,the guardian : why a remain vote is essential for uk families <url> <url>
The Guardian view on why you must vote REMAIN on Thursday - please RT. https://t.co/oHvGmHHaRe https://t.co/21wLTz6b9V,stay,the guardian view on why you must vote remain on thursday - please rt <url> <url>
Moving letter from 96-year-old war veteran on why we must vote REMAIN on 23 June: https://t.co/UDZpeNhtER https://t.co/p9wugV1HiR,stay,moving letter from <number> - year-old war veteran on why we must vote remain on <number> june : <url> <url>
"RT @StrongerInPress: The Guardian view on the EU referendum: keep connected and inclusive, not angry and isolated https://t.co/y8QlRiztKr #…",stay,rt : the guardian view on the eu referendum : keep connected and inclusive not angry and isolated <url> <hashtag>
"She disagrees with David Cameron on everything else, but here’s why Yasmin agrees we’re better off IN:
https://t.co/M8uAX279yK",leave,she disagrees with david cameron on everything else but here ’ s why yasmin agrees we ’ re better off in : <url>
"MUST-WATCH - the Green Party's Caroline Lucas is clear: vote REMAIN on Thursday to keep Britain strong
https://t.co/S0WP7Q5CwF",stay,must-watch - the green party's caroline lucas is clear : vote remain on thursday to keep britain strong <url>
"WATCH: the Green party's Caroline Lucas on why you need to vote REMAIN on Thursday:
https://t.co/5xXmzFb8Cl",stay,watch : the green party's caroline lucas on why you need to vote remain on thursday : <url>
Every single living Lib Dem leader backs a vote for REMAIN this Thursday. RT so everyone knows: https://t.co/uvOJn6FVXi,stay,every single living lib dem leader backs a vote for remain this thursday rt so everyone knows : <url>
"WATCH: Clarkson and May talk Ford Mondeos and why Britain is better off in Europe.
https://t.co/Z88C2i7XMO",leave,watch : clarkson and may talk ford mondeos and why britain is better off in europe <url>
20 @premierleague club CEOs: British football is #StrongerIn - vote REMAIN #ENGSOL https://t.co/NG25fMCDrw https://t.co/D987TNMW5o,stay,<number> club ceos : british football is <hashtag> - vote remain <hashtag> <url> <url>
All 20 @premierleague clubs say vote REMAIN on Thursday for greater global influence #ENGSLO https://t.co/NG25fMCDrw https://t.co/V8lauRWbvX,stay,all <number> clubs say vote remain on thursday for greater global influence <hashtag> <url> <url>
"Clarkson and May can’t agree on anything - but they agree we should vote REMAIN on Thursday.
https://t.co/loGguOLhi2",stay,clarkson and may can ’ t agree on anything - but they agree we should vote remain on thursday <url>
"Clarkson and May only agree on 3 things - and Britain staying in Europe is one of them:
https://t.co/JYg1yMRr06",stay,clarkson and may only agree on <number> things - and britain staying in europe is one of them : <url>
"Mark Carney, Governor of the Bank of England is clear: a vote to leave could mean higher mortgage rates. #InOrOUt https://t.co/8DE8d9J8V5",leave,mark carney governor of the bank of england is clear : a vote to leave could mean higher mortgage rates <hashtag> <url>
"The remain campaign is truly cross-party &amp; has a clear, positive plan for UK &amp; your family's future: https://t.co/4C3agGf3KY #InOrOut",stay,the remain campaign is truly cross-party amp ; has a clear positive plan for uk amp ; your family's future : <url> <hashtag>
60 seconds. Six vital reasons to vote REMAIN on Thursday. Please RT. #InOrOut https://t.co/a3EcSpe3V9,stay,<number> seconds six vital reasons to vote remain on thursday please rt <hashtag> <url>
"From China &amp; India to the USA, world leaders agree that the UK is better off IN. https://t.co/o9PcwO0yQw https://t.co/mcgFhN5F1U #InOrOUt",leave,from china amp ; india to the usa world leaders agree that the uk is better off in <url> <url> <hashtag>
Richard Branson knows business - this is why he thinks you should vote REMAIN: https://t.co/6v72UXeoqz #InOROut,stay,richard branson knows business - this is why he thinks you should vote remain : <url> <hashtag>
EIGHT out of ten UK business want us to stay in Europe – UK businesses &amp; jobs are #StrongerIn Europe https://t.co/UuPxpQq4mW  #InOrOut,stay,eight out of ten uk business want us to stay in europe – uk businesses amp ; jobs are <hashtag> europe <url> <hashtag>
It is patriotic to remain part of Europe - London Mayor @sadiqkhan https://t.co/eS75A7C26x https://t.co/b1T2vy1bbD #InOrOut,stay,it is patriotic to remain part of europe - london mayor <url> <url> <hashtag>
"RT @wdjstraw: ""It is young people's future to decide what relationship we have with the rest of Europe"" - @jeremycorbyn #StrongerIn #VoteRe…",stay,"rt : "" it is young people's future to decide what relationship we have with the rest of europe "" - <hashtag> <hashtag>"
"More jobs, workers’ right protected: no wonder EVERY Labour leader says we’re better off voting REMAIN https://t.co/cokMBwYGxV #INOrOut",stay,more jobs workers ’ right protecte <smile> no wonder every labour leader says we ’ re better off voting remain <url> <hashtag>
ALL these independent economic experts say Britain is #StrongerIn Europe. For a brighter future vote REMAIN https://t.co/RzztV6MGJa #InOrOut,stay,all these independent economic experts say britain is <hashtag> europe for a brighter future vote remain <url> <hashtag>
"Global financial authority the IMF say leaving Europe will be ""pretty bad to very very bad"" for the UK: https://t.co/J6tQ0H2FaM #InOrOut",leave,"global financial authority the imf say leaving europe will be "" pretty bad to very very bad "" for the uk : <url> <hashtag>"
UK jobs are on the line on Thursday. Being in the EU creates jobs for UK families - vote REMAIN https://t.co/HiQQ3H8V5O #InOrOut,stay,uk jobs are on the line on thursday being in the eu creates jobs for uk families - vote remain <url> <hashtag>
RT @UKLabour: Trade union leaders representing 4m workers stand united with Labour: for workers' rights we must Remain #InOrOut https://t.c…,stay,rt : trade union leaders representing <number> m workers stand united with labour : for workers ' rights we must remain <hashtag> <url> …
RT @labourpress: Staying in the EU is best for UK jobs #InOrOut,stay,rt : staying in the eu is best for uk jobs <hashtag>
"Wages £1,800 higher thanks to EU membership. Vote to remain on Thursday for higher wages. #Strongerin https://t.co/Q6noc7qexo #InOROUt",stay,wages <number> higher thanks to eu membership vote to remain on thursday for higher wages <hashtag> <url> <hashtag>
"Bank of England: leaving Europe could mean fewer jobs, lower wages &amp; UK businesses going out of business. https://t.co/YUcY6UJP0J #InOrOut",leave,bank of englan <smile> leaving europe could mean fewer jobs lower wages amp ; uk businesses going out of business <url> <hashtag>
"RT @labourpress: Britain’s biggest trade unions, representing nearly 4m workers, believe Britain is better off in Europe #InOrOut",leave,rt : britain ’ s biggest trade unions representing nearly <number> m workers believe britain is better off in europe <hashtag>
"To protect workers' rights, inc paid holidays, vote REMAIN, says Jeremy Corbyn https://t.co/XfY8hC3Ty5 https://t.co/yB07VudQcH #InOrOut",stay,to protect workers ' rights inc paid holidays vote remain says jeremy corbyn <url> <url> <hashtag>
"More jobs, workers’ right protected: no wonder EVERY Labour leader says we’re better off voting REMAIN. https://t.co/cokMBwYGxV #INOrOut",stay,more jobs workers ’ right protecte <smile> no wonder every labour leader says we ’ re better off voting remain <url> <hashtag>
"RT @UKLabourIN: Over 3 million British jobs are linked to the EU. 
#InOrOut
#VoteRemain
#LabourInForBritain https://t.co/OTNE1HJoEB",stay,rt : over <number> million british jobs are linked to the eu <hashtag> <hashtag> <hashtag> <url>
"Britain is #StrongerIn Europe, working together with our partners on security says @DMiliband https://t.co/udrOHuHKOQ #InOrOut",stay,britain is <hashtag> europe working together with our partners on security says <url> <hashtag>
.@jeremycorbyn sets out his – and Labour’s – compelling case as to why we’re #StrongerIn Europe. https://t.co/Zzv4wPxB1t #INOrOut,stay,sets out his – and labour ’ s – compelling case as to why we ’ re <hashtag> europe <url> <hashtag>
Former UN chief Kofi Annan: we shouldn't isolate ourselves by leaving EU https://t.co/UhENti92G9 https://t.co/hu0OFNfG0H #InOrOut,leave,former un chief kofi annan : we shouldn't isolate ourselves by leaving eu <url> <url> <hashtag>
"While leaving Europe is a leap into the dark, here are five GUARANTEES of a stronger future IN Europe: https://t.co/XmIqKRQeFy #InOrOut",leave,while leaving europe is a leap into the dark here are five guarantees of a stronger future in europe : <url> <hashtag>
"RT @UKLabour: For effective action on climate change, we must vote to Remain. RT if you agree with @jeremycorbyn #InOrOut https://t.co/ADCZ…",stay,rt : for effective action on climate change we must vote to remain rt if you agree with <hashtag> <url> …
RT @UKLabourIN: Jeremy Corbyn is voting to Remain because leaving the EU would put the NHS at risk. Agree with Jeremy? RT #InOrOut https://…,stay,rt : jeremy corbyn is voting to remain because leaving the eu would put the nhs at risk agree with jeremy rt <hashtag> https : / / …
RT @labourpress: A vote to Leave the EU would weaken our economy and put funding for vital public services – like the NHS – at risk #InOrOut,leave,rt : a vote to leave the eu would weaken our economy and put funding for vital public services – like the nhs – at risk <hashtag>
Royal College of Midwives are just one respect health organisation who say we must vote REMAIN for our NHS: https://t.co/ta0xPH3qi4 #InorOut,stay,royal college of midwives are just one respect health organisation who say we must vote remain for our nhs : <url> <hashtag>
Hear direct from NHS workers why THEY say our NHS is better off if we vote remain. https://t.co/2RJSOAQP57 #InOrOut,stay,hear direct from nhs workers why they say our nhs is better off if we vote remain <url> <hashtag>
A vote to leave will damage our NHS - Jeremy Corbyn #InorOut,leave,a vote to leave will damage our nhs - jeremy corbyn <hashtag>
"Simon Stevens, the boss of the NHS England is clear: leaving Europe would be dangerous for our NHS. #InorOut https://t.co/AJ7F2s98X6",leave,simon stevens the boss of the nhs england is clear : leaving europe would be dangerous for our nhs <hashtag> <url>
"""We should stay in Europe &amp; make a positive change"": why Corbyn is voting REMAIN https://t.co/XfY8hC3Ty5 https://t.co/ysVWhkuPGy #InOrOut",stay,""" we should stay in europe amp ; make a positive change "" : why corbyn is voting remain <url> <url> <hashtag>"
Major trade unions come together to say British workers are better off IN Europe. https://t.co/o9PcwO0yQw https://t.co/PF3hrzYJqz  #InorOut,leave,major trade unions come together to say british workers are better off in europe <url> <url> <hashtag>
Parental leave protected by EU law. Workers and families are #Strongerin https://t.co/sI5BtO0FDP #InOrOut,stay,parental leave protected by eu law workers and families are <hashtag> <url> <hashtag>
MUST-WATCH: Labour leader Jeremy Corbyn says workers' rights &amp; the environment are better off IN Europe. https://t.co/W23UVosSrb #InorOut,leave,must-watch : labour leader jeremy corbyn says workers ' rights amp ; the environment are better off in europe <url> <hashtag>
RT @StrongerInPress: .@jeremycorbyn on @SkyNews #InOrOut says he wants to remain in Europe to work with others #StrongerIn,stay,rt : on <hashtag> says he wants to remain in europe to work with others <hashtag>
Protections on parental leave and equal pay rules: women’s rights are #Strongerin Europe https://t.co/sI5BtO0FDP #InorOut,stay,protections on parental leave and equal pay rules : women ’ s rights are <hashtag> europe <url> <hashtag>
"RT @UKLabour: We can only achieve change in the EU if we vote to Remain and reform, says @jeremycorbyn. RT if you agree #InOrOut https://t.…",stay,rt : we can only achieve change in the eu if we vote to remain and reform says rt if you agree <hashtag> <url> …
"RT @wdjstraw: Jeremy Corbyn: ""No easy road back"" if we leave on Thursday #StrongerIn #VoteRemain #InOrOut",stay,"rt : jeremy corbyn : "" no easy road back "" if we leave on thursday <hashtag> <hashtag> <hashtag>"
"We're a truly cross-party, nationwide campaign. Here's @jeremycorbyn's positive case for staying IN Europe https://t.co/noDq5AzoMn #InOrOut",stay,we're a truly cross-party nationwide campaign here's ' s positive case for staying in europe <url> <hashtag>
The movement to REMAIN is truly cross-party: leaders of all major parties agree we're better off IN. https://t.co/NDqhdYRouv #InOrOut,stay,the movement to remain is truly cross-party : leaders of all major parties agree we're better off in <url> <hashtag>
"What has the EU ever done for us? An awful lot, as it turns out. Here are 38 reasons to vote REMAIN. https://t.co/dHyUQpE0RU #InOrOut",stay,what has the eu ever done for us an awful lot as it turns out here are <number> reasons to vote remain <url> <hashtag>
"Bank of England: leaving Europe could mean fewer jobs, lower wages &amp; UK businesses going out of business. https://t.co/YUcY6UJP0J #InorOut",leave,bank of englan <smile> leaving europe could mean fewer jobs lower wages amp ; uk businesses going out of business <url> <hashtag>
"Here are six reasons why voting remain will keep us all stronger, safer and better off. https://t.co/17jwWNYaSS #InorOut",stay,here are six reasons why voting remain will keep us all stronger safer and better off <url> <hashtag>
RT @UKLabourIN: LIVE: Labour Leader @jeremycorbyn is answering questions on @SkyNews about why he's voting to Remain in the EU: https://t.c…,stay,rt : live : labour leader is answering questions on about why he's voting to remain in the eu : <url> …
.@jeremycorbyn sets out his – and Labour’s – compelling case as to why we’re #StrongerIn Europe. #InOrOut https://t.co/Zzv4wPxB1t,stay,sets out his – and labour ’ s – compelling case as to why we ’ re <hashtag> europe <hashtag> <url>
"""We should stay in Europe &amp; make a postive change"" - Jeremy Corbyn &amp; why he's voting REMAIN https://t.co/XfY8hC3Ty5 https://t.co/ysVWhkuPGy",stay,""" we should stay in europe amp ; make a postive change "" - jeremy corbyn amp ; why he's voting remain <url> <url>"
RT @richardbranson: By voting Leave you're not kicking the establishment in the balls - you're shooting yourself in the foot https://t.co/y…,leave,rt : by voting leave you're not kicking the establishment in the balls - you're shooting yourself in the foot <url> …
"What has the EU ever done for us? Here are dozens of uplifting reasons to vote REMAIN:
https://t.co/tP5aCX1H0X",stay,what has the eu ever done for us here are dozens of uplifting reasons to vote remain : <url>
"RT @UKLabour: If you're voting Remain on Thursday, say you're with us. RT this ↓ 
#LabourInForBritain https://t.co/cdaOujeBgX",stay,rt : if you're voting remain on thursday say you're with us rt this ↓ <hashtag> <url>
"RT @richardbranson: #VoteRemain for trade, job creation &amp; the economy, for peace, prosperity &amp; security https://t.co/ybeIVtSKIL https://t.c…",stay,rt : <hashtag> for trade job creation amp ; the economy for peace prosperity amp ; security <url> <url> …
Voting REMAIN on Thursday? Tell the rest of Twitter - change your profile pic now: https://t.co/aumg3etBcZ https://t.co/tYDIny9SGg,stay,voting remain on thursday tell the rest of twitter - change your profile pic now : <url> <url>
"How has being in the EU changed your life? Here are dozens of uplifting reasons to vote REMAIN:
https://t.co/CHW7vPAWyD",stay,how has being in the eu changed your life here are dozens of uplifting reasons to vote remain : <url>
"We should listen to the overwhelming expert opinion that says REMAIN, urges @sadiqkhan https://t.co/JVugghpmu3 https://t.co/gLj6R4xMqg",stay,we should listen to the overwhelming expert opinion that says remain urges <url> <url>
"Ford, employing 14k UK workers, are clear: a vote to leave Europe will hit their business &amp; jobs. Please RT https://t.co/QghNNMjsrk",leave,ford employing <number> k uk workers are clear : a vote to leave europe will hit their business amp ; jobs please rt <url>
"The cost of #Brexit to Ford could be ""hundreds of millions of dollars every year"" -car manufacturers are #StrongerIn https://t.co/ZVeDGWcHbb",stay,"the cost of <hashtag> to ford could be "" hundreds of millions of dollars every year "" - car manufacturers are <hashtag> <url>"
"RT @UKLabour: Share this: For thousands of new jobs &amp; opportunities for young people, Gordon Brown is voting Remain #LeadNotLeave
https://t…",stay,rt : share this : for thousands of new jobs amp ; opportunities for young people gordon brown is voting remain <hashtag> <url> …
"Ford have written to their 14k UK workers today urging them to vote REMAIN on Thursday for a ""more secure future"" https://t.co/cxMIgSxmHX",stay,"ford have written to their <number> k uk workers today urging them to vote remain on thursday for a "" more secure future "" <url>"
.@sadiqkhan makes the positive case for a vote to REMAIN on Thursday #StrongerIn https://t.co/JVugghGXlB https://t.co/MoRcjz5AaF,stay,makes the positive case for a vote to remain on thursday <hashtag> <url> <url>
"For future jobs &amp; opportunities, a vote to REMAIN is the best choice for young people https://t.co/JVugghGXlB https://t.co/mbvwwVzYkt",stay,for future jobs amp ; opportunities a vote to remain is the best choice for young people <url> <url>
".@sadiqkhan: ""The true patriotic case is to remain &amp; lead in Europe"" #StrongerIn https://t.co/JVugghpmu3 https://t.co/1zQZxhw1yo",stay,": "" the true patriotic case is to remain amp ; lead in europe "" <hashtag> <url> <url>"
RT @UKLabour: In just three days' time we'll be heading to the ballot box to vote Remain. Are you with us? Share this ↓ #EUref https://t.co…,stay,rt : in just three days ' time we'll be heading to the ballot box to vote remain are you with us share this ↓ <hashtag> <url> …
WW2 veteran Harry Leslie Smith faced a broken Europe - now he’s urging people to vote REMAIN https://t.co/RjzL3VijIE https://t.co/FREgan44ih,stay,ww <number> veteran harry leslie smith faced a broken europe - now he ’ s urging people to vote remain <url> <url>
Show you're proud to vote REMAIN - change your Twitter profile pic today: https://t.co/aumg3etBcZ https://t.co/I36FosBjBv,stay,show you're proud to vote remain - change your twitter profile pic today : <url> <url>
Highly-respected experts @TheEconomist say we must vote REMAIN on 23 June: https://t.co/zYgedjMgz4 https://t.co/qLIvIW9kax,stay,highly-respected experts say we must vote remain on <number> june : <url> <url>
"We’re stronger when we’re open, inclusive, and together - not divided. Vote REMAIN on Thursday. https://t.co/I3ZZlK1cOt",stay,we ’ re stronger when we ’ re open inclusive and together - not divided vote remain on thursday <url>
"RT this to say a vote to remain is a vote to keep us together, not divided. https://t.co/HQlADBZX1P",stay,rt this to say a vote to remain is a vote to keep us together not divided <url>
"RT @UKLabour: Our Shadow Cabinet, MPs, @jeremycorbyn and trade union leaders stand united: we're voting Remain on Thursday #EUref https://t…",stay,rt : our shadow cabinet mps and trade union leaders stand unite <smile> we're voting remain on thursday <hashtag> <url> …
"The Economist join the FT, New Statesman &amp; others in saying vote REMAIN on Thursday: https://t.co/zYgedjMgz4 https://t.co/GQBChcJZOk",stay,the economist join the ft new statesman amp ; others in saying vote remain on thursday : <url> <url>
"MUST-READ The Economist’s detailed, expert case for why we must REMAIN in Europe. https://t.co/zYgedjuFau https://t.co/DID9pZ73xr",stay,must-read the economist ’ s detailed expert case for why we must remain in europe <url> <url>
.@birminghammail joins top regional newspapers in urging its readers to vote to REMAIN https://t.co/pAoBKLp54F https://t.co/q2zxHYxjkw,stay,joins top regional newspapers in urging its readers to vote to remain <url> <url>
The @birminghammail urges its readers to vote to REMAIN on Thursday #StrongerIn https://t.co/pAoBKLp54F https://t.co/tRPLcNXdEi,stay,the urges its readers to vote to remain on thursday <hashtag> <url> <url>
"RT @UKLabour: This Thursday we're voting Remain: for jobs, workers' rights, lower prices, and our NHS. RT if you are too ↓ #EUref https://t…",stay,rt : this thursday we're voting remain : for jobs workers ' rights lower prices and our nhs rt if you are too ↓ <hashtag> <url> …
"Birmingham's biggest paper backs REMAIN, saying ""don’t gamble with Birmingham’s future"" https://t.co/pAoBKLp54F https://t.co/qvWqLVMTKR",stay,"birmingham's biggest paper backs remain saying "" don ’ t gamble with birmingham ’ s future "" <url> <url>"
RT @SkyNews: Premier League Boss Backs EU Remain Campaign https://t.co/L8Rwv0Lp4e,stay,rt : premier league boss backs eu remain campaign <url>
"The motor industry, supporting 800,000 UK jobs, is united: jobs and trade are #StrongerIN https://t.co/Q5JFrlSui9 https://t.co/wcAjmyLLxu",stay,the motor industry supporting <number> uk jobs is unite <smile> jobs and trade are <hashtag> <url> <url>
"One of the simplest explanations we’ve heard for what Britain leaving Europe could feel like:
https://t.co/Mk1soxynb9",leave,one of the simplest explanations we ’ ve heard for what britain leaving europe could feel like : <url>
#Brexit will damage the car industry and cost jobs say top manufacters #StrongerIn https://t.co/Q5JFrlSui9 https://t.co/VzfvlgFDiC,stay,<hashtag> will damage the car industry and cost jobs say top manufacters <hashtag> <url> <url>
Nobel Prize-winning economists say “the economic arguments are clearly in favour of remaining in the EU” https://t.co/nFwr38uob1,stay,nobel prize-winning economists say “ the economic arguments are clearly in favour of remaining in the eu ” <url>
"RT @birminghammail: Vote Remain - because the risk to Birmingham is too high for us to quit the EU.
https://t.co/V9muXt31zC",stay,rt : vote remain - because the risk to birmingham is too high for us to quit the eu <url>
RT @StrongerInPress: 10 Nobel prize-winning economists warn leaving EU would do long-term damage to UK economy #StrongerIn  https://t.co/yH…,stay,rt : <number> nobel prize-winning economists warn leaving eu would do long-term damage to uk economy <hashtag> <url> …
RT @BBCNews: UK car industry and more leading businessmen back Remain https://t.co/PT0aZ4bRxA,stay,rt : uk car industry and more leading businessmen back remain <url>
RT @StrongerInPress: Harry Leslie Smith says we must stay united and vote to remain in the EU: https://t.co/JSFHayVeo7 #StrongerIn,stay,rt : harry leslie smith says we must stay united and vote to remain in the eu : <url> <hashtag>
"Jaguar Land Rover, Toyota, BMW and Vauxhall warn leaving EU would put thousands of British jobs at risk #StrongerIn https://t.co/RmoTHfK9Ok",stay,jaguar land rover toyota bmw and vauxhall warn leaving eu would put thousands of british jobs at risk <hashtag> <url>
"Please RT - why leaving Europe could feel like a VERY bad night out for all of us:
https://t.co/8IoBuE6OGu",leave,please rt - why leaving europe could feel like a very bad night out for all of us : <url>
"Why leaving Europe could see UK “standing in a kebab shop arguing about whose fault it is”
https://t.co/6K8Y6ZprGo",leave,why leaving europe could see uk “ standing in a kebab shop arguing about whose fault it is ” <url>
Nobel prize-winning economists: the UK economy is #StrongerIN the EU https://t.co/BRImQp0g6p,stay,nobel prize-winning economists : the uk economy is <hashtag> the eu <url>
RT @michaelsavage: Senior Tory defects from Leave to Remain. A Times exclusive by @elliotttimes #EUrefhttps://t.co/xeoE9uHiyx,stay,rt : senior tory defects from leave to remain a times exclusive by <hashtag>
RT @scotstrongerin: Thanks to our fantastic team in Aberdeen today spreading our #StrongerIn message! #VoteRemain https://t.co/Gfr8COlyfN,stay,rt : thanks to our fantastic team in aberdeen today spreading our <hashtag> message <hashtag> <url>
"RT @chrisshipitv: In @thetimes tomorrow @elliotttimes writes that former minister Baroness Warsi is defecting to REMAIN over ""complete lies…",stay,"rt : in tomorrow writes that former minister baroness warsi is defecting to remain over "" complete lies …"
BRITAIN DOESN'T QUIT - the clear message from David Cameron in tonight's debate. #StrongerInhttps://t.co/yjI7DceYDZ,stay,britain doesn't quit - the clear message from david cameron in tonight's debate <hashtag>
"Voting REMAIN is voting for more jobs and more opportunities – Gordon Brown:
https://t.co/IEYIFOplrJ",stay,voting remain is voting for more jobs and more opportunities – gordon brown : <url>
RT @David_Cameron: Thanks to Question Time audience. Vote Remain for a stronger economy &amp; because Britain doesn't quit. Voting Leave means…,stay,rt : thanks to question time audience vote remain for a stronger economy amp ; because britain doesn't quit voting leave means …
The Manchester Evening News believes Greater Manchester is #StrongerIn Europe: https://t.co/lgQkhCxKRX https://t.co/zwYgWcvxug,stay,the manchester evening news believes greater manchester is <hashtag> europe : <url> <url>
"What has the EU ever done for us? An awful lot, as it turns out. Here are 38 reasons to vote REMAIN #bbcqt https://t.co/dHyUQpE0RU",stay,what has the eu ever done for us an awful lot as it turns out here are <number> reasons to vote remain <hashtag> <url>
"The choice facing Britain is clear: Britain #StrongerIn Europe, or a leap into the dark https://t.co/sDAlD5WTFW #bbcqt",stay,the choice facing britain is clear : britain <hashtag> europe or a leap into the dark <url> <hashtag>
"RT @margarance: Britain didn't abandon Europe in 1940. Britain won't quit the EU now. We're fighters, not quitters. #Remain https://t.co/lU…",stay,rt : britain didn't abandon europe in <number> britain won't quit the eu now we're fighters not quitters <hashtag> <url> …
EIGHT out of ten UK business want us to stay in Europe – UK businesses &amp; jobs are #StrongerIn Europe https://t.co/UuPxpQq4mW  #bbcqt,stay,eight out of ten uk business want us to stay in europe – uk businesses amp ; jobs are <hashtag> europe <url> <hashtag>
David Cameron calls on young people to talk to their parents and grandparents and tell them they want to remain in #bbcqt,stay,david cameron calls on young people to talk to their parents and grandparents and tell them they want to remain in <hashtag>
"Staying in Europe is worth a future 800,000 jobs. Remain for more jobs &amp; opportunities for young people. https://t.co/JQ5khfiKjw #bbcqt",stay,staying in europe is worth a future <number> jobs remain for more jobs amp ; opportunities for young people <url> <hashtag>
RT @edvaizey: Vote for a stronger economy by voting Remain #bbcqt,stay,rt : vote for a stronger economy by voting remain <hashtag>
"If we leave Europe, the UK economy would be hit - and hardworking families would suffer. Vote Remain on Thursday. #bbcqt",stay,if we leave europe the uk economy would be hit - and hardworking families would suffer vote remain on thursday <hashtag>
The economic argument is OVER: economists overwhelmingly say remaining is better for our economy &amp; for jobs. https://t.co/WYXJuSGSz3 #bbcqt,stay,the economic argument is over : economists overwhelmingly say remaining is better for our economy amp ; for jobs <url> <hashtag>
"Wages £1,800 higher thanks to EU membership. Vote to remain for higher wages. #Strongerin https://t.co/Q6noc7qexo #bbcqt",stay,wages <number> higher thanks to eu membership vote to remain for higher wages <hashtag> <url> <hashtag>
"RT @georgeeaton: Cameron says Vote Leave's three main messages - Turkey, EU army, £350m - are ""completely untrue"". #bbcqt",leave,"rt : cameron says vote leave's three main messages - turkey eu army <number> m - are "" completely untrue "" <hashtag>"
RT @bbcquestiontime: David Cameron: I don't think Britain is a quitter - we should stay and fight. #bbcqt #EURef https://t.co/GmLGlPYwrQ,stay,rt : david cameron : i don't think britain is a quitter - we should stay and fight <hashtag> <hashtag> <url>
The movement to remain is truly cross-party: leaders of all major parties agree we're better off IN. https://t.co/NDqhdYRouv #bbcqt,stay,the movement to remain is truly cross-party : leaders of all major parties agree we're better off in <url> <hashtag>
"RT @StrongerInPress: Even Boris Johnson has admitted ""Turkey joining the EU is not on the cards"". Leave argument is untrue and cynical #bbc…",stay,"rt : even boris johnson has admitted "" turkey joining the eu is not on the cards "" leave argument is untrue and cynical <hashtag>"
"RT @wdjstraw: ""Biggest red herring in this entire debate"" is the idea that Turkey would join the EU #StrongerIn #VoteRemain #bbcqt",stay,"rt : "" biggest red herring in this entire debate "" is the idea that turkey would join the eu <hashtag> <hashtag> <hashtag>"
RT @StrongerInPress: PM: Chuchill didn't quit on European democracy. We mustn't quit now #bbcqt #StrongerIn,stay,rt : pm : chuchill didn't quit on european democracy we mustn't quit now <hashtag> <hashtag>
"RT @timesredbox: Cameron: Britain is not a quitter, we should stay and fight. You can't fight if you're not in the room #bbcqt",stay,rt : cameron : britain is not a quitter we should stay and fight you can't fight if you're not in the room <hashtag>
David Cameron: Britain isn't a quitter. We stay and we fight and we lead in the world #StrongerIN #bbcqt https://t.co/FXbPKGKF1Z,stay,david cameron : britain isn't a quitter we stay and we fight and we lead in the world <hashtag> <hashtag> <url>
"From China &amp; India to the USA, world leaders agree that the UK is better off IN. https://t.co/o9PcwO0yQw https://t.co/mcgFhN5F1U #bbcqt",leave,from china amp ; india to the usa world leaders agree that the uk is better off in <url> <url> <hashtag>
Britain’s new deal with Europe gives us the best of both worlds #StrongerIn https://t.co/tGVTGDj8lX #bbcqt,stay,britain ’ s new deal with europe gives us the best of both worlds <hashtag> <url> <hashtag>
"Bank of England: leaving Europe could mean fewer jobs, lower wages &amp; UK businesses going out of business. https://t.co/YUcY6UJP0J #bbcqt",leave,bank of englan <smile> leaving europe could mean fewer jobs lower wages amp ; uk businesses going out of business <url> <hashtag>
Trevor Phillips: issues of immigration will be made WORSE not better by leaving EU: https://t.co/BVEeqk3sVi  #bbcqt,leave,trevor phillips : issues of immigration will be made worse not better by leaving eu : <url> <hashtag>
The weight of expert economic opinion is overwhelmingly in favour of staying IN Europe. https://t.co/WYXJuSGSz3 #bbcqt,stay,the weight of expert economic opinion is overwhelmingly in favour of staying in europe <url> <hashtag>
RT @StrongerInPress: PM: Listen to the people who work in the NHS. They want us to stay in the EU because a stronger economy means more mon…,stay,rt : pm : listen to the people who work in the nhs they want us to stay in the eu because a stronger economy means more mon …
Royal College of Midwives are just one respect health organisation who say we must vote REMAIN for our NHS: https://t.co/ta0xPH3qi4 #bbcqt,stay,royal college of midwives are just one respect health organisation who say we must vote remain for our nhs : <url> <hashtag>
You can't have a strong NHS without a strong economy - and that means staying in Europe #bbcqt,stay,you can't have a strong nhs without a strong economy - and that means staying in europe <hashtag>
Hear direct from NHS workers why THEY say our NHS is better off if we vote remain. https://t.co/2RJSOAQP57 #bbcqt,stay,hear direct from nhs workers why they say our nhs is better off if we vote remain <url> <hashtag>
